brand,model,discipline,price_eur,frame_material,tire_clearance_mm,groupset,weight_kg,url,image_url,description
Canyon,Grizl:ONfly CF 7,gravel,,carbon,,Shimano Grx,15.99,https://www.canyon.com/fi-fi/sahkopyorat/gravel-sahkopyora/grizl-on/grizl-onfly-cf-7/3548.html?dwvar_3548_pv_rahmenfarbe=R112_P01,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1733933213/A0C3DF7E-DA55-4A93-9910671557059F2A","Canyon - Uusimman Bosch SX -moottorin luonnollinen ja nopeasti reagoiva avustusjärjestelmä siivittää sinut seuraavalle sähköistetylle seikkailullesi. Suuntaa luontoon tällä seikkailuille valmiilla pyörällä, jossa kohtaavat maastovalmius ja arkikäyttöä helpottava käytännöllisyys."
Canyon,Grail CF SLX 8 AXS,gravel,,carbon,,Sram Force,8.32,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf-slx/grail-cf-slx-8-axs/4151.html?dwvar_4151_pv_rahmenfarbe=R120_P04,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1748358728/2026_FULL_grail_cf-slx-8-axs_4151_R120_P04_eudeju","Canyon - Kevyt, integroitu ja todella nopea pyörä. Tässä Grail-mallissa yhdistyvät kiertojäykkä ja uskomattoman kevyt CF SLX -hiilikuiturunko, DT Swissin nopeat hiilikuitukiekot ja langaton SRAM Force -vaihteisto. Se on valmis siivittämän sinut seuraavan gravelkisasi voittoon."
Canyon,Grail CF SLX 9 AXS,gravel,,carbon,,Sram Red,8.14,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf-slx/grail-cf-slx-9-axs/4336.html?dwvar_4336_pv_rahmenfarbe=R120_P03,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1744207006/2025_FULL_grail_cf-slx-9-axs_4336_R120_P03_fxfdn0","Canyon - Monipuolinen, integroitu, nopea. Uuden sukupolven Grail CF SLX -runko, SRAMin langaton vaihteisto ja salamannopeat DT Swissin kiekot tekevät tästä huippunopeasta gravelpyörästä loistavan valinnan kisaamiseen korkeimmallakin tasolla."
Cube,Nuroad Pro,gravel,1249.0,aluminum,,,,https://rtech.fi/tuote/cube_nuroad_pro_gravelpyora?attr1_id=659,https://media.viskanassets.com/v2/rtechprod/normal/25021_pea´n´grey_front.jpg,"Nuroad Pro on suorituskykyinen ja moderni gravel-pyörä, joka todistaa että soratieajosta voi nauttia myös kohtuullisella budjetilla. Shimano 1x11 -voimansiirto, hiilikuituinen etuhaarukka ja hydrauliset levyjarrut kevyessä alumiinirungossa. Hintaluokkansa selkeä ykkönen! - Aluminum 6061 T6 Superlite -runko - Shimano Cues 1x11 -voimansiirto - Hydrauliset Shimano Cues -levyjarrut - Hiilikuituinen etuhaarukka - 40 mm Schwalbe G-One Allround -renkaat - Paino vain 10,7 kiloa"
CUBE,Nuroad EX,gravel,1549.0,aluminum,,Shimano Grx,10.2,https://rtech.fi/tuote/cube_nuroad_ex_gravelpyora?attr1_id=667,https://media.viskanassets.com/v2/rtechprod/normal/25022_cotton´n´grey_front.jpg,"Kevyt, nopea ja mukava gravel-pyörä erinomaisella Shimano GRX 1x12 -vaihteistolla ja hydraulisilla levyjarruilla.- Aluminum 6061 T6 Superlite -runko- Shimano GRX 1x12 -vaihteisto- Hydrauliset Shimano GRX -levyjarrut- Hiilikuituinen etuhaarukka- Newmen Performance 25 -kiekot- Leveät 45 mm Schwalbe G-ONE -renkaat- Paino 10,2 kg"
CUBE,Nuroad EX,gravel,1549.0,aluminum,,Shimano Grx,10.2,https://rtech.fi/tuote/cube_nuroad_ex_gravelpyora?attr1_id=668,https://media.viskanassets.com/v2/rtechprod/normal/25022_blueiris´n´lilac_front.jpg,"Kevyt, nopea ja mukava gravel-pyörä erinomaisella Shimano GRX 1x12 -vaihteistolla ja hydraulisilla levyjarruilla.- Aluminum 6061 T6 Superlite -runko- Shimano GRX 1x12 -vaihteisto- Hydrauliset Shimano GRX -levyjarrut- Hiilikuituinen etuhaarukka- Newmen Performance 25 -kiekot- Leveät 45 mm Schwalbe G-ONE -renkaat- Paino 10,2 kg"
CUBE,Nuroad C:62,road,2199.0,carbon,,Shimano Grx,,https://rtech.fi/tuote/cube_nuroad_c62_one_gravelpyora?attr1_id=46,https://media.viskanassets.com/v2/rtechprod/normal/25026_blackline_front.jpg,Vaativan harrastajan gravelpyörä. Uusi kevyt hiilikuiturunko Shimano GRX -gravel-komponenteilla. &nbsp; - C:62 -hiilikuiturunko - Shimano GRX 1x12 -vaihteisto - Hydrauliset Shimano GRX -levyjarrut - Newmen Performance 25 -kiekot - Leveät 45 mm Schwalbe G-One R Pro -renkaat
CUBE,Nuroad C:62,road,3799.0,carbon,,Shimano Grx,8.3,https://rtech.fi/tuote/cube_nuroad_c62_race_gravelpyora?attr1_id=551,https://media.viskanassets.com/v2/rtechprod/normal/25029_nebula´n´blue_front.jpg,"Kevyt ja nopea kisa-gravel uudella Shimano GRX Di2 2x12 gravel-osasarjalla aktiiviharrastajalle. - C:62 -hiilikuiturunko - Langaton Shimano GRX Di2 2x12 -vaihteisto - Hydrauliset Shimano GRX -levyjarrut - Newmen Advanced SL X.R.36 -hiilikuitukiekot - Schwalbe G-One RS Pro 45 mm renkaat - Integroitu ohjaustanko - Shimano GRX 4iiii -kammet tehonmittauksella - Paino 8,3 kg"
CUBE,Nuroad C:62,road,4299.0,carbon,,Sram Force,8.6,https://rtech.fi/tuote/cube_nuroad_C62_SLX_gravel_pyora?attr1_id=674,https://media.viskanassets.com/v2/rtechprod/normal/25030_reedbeige´n´chrome_front.jpg,"Kärkiluokan gravelpyörä raskaaseen kisailuun ja harjoitteluun aktiiviharrastajalle. Tarkasti toimiva ja kovaa rasitusta kestävä sähköinen Sram GX AXS Transmission 1x12 -voimansiirto sekä korkeaprofiiliset Zipp 303 XPLR -gravel-kiekot.- C:62 -hiilikuiturunko - Sähköinen Sram GX AXS Transmission 1x12 -voimansiirto - Sram Force AXS E1 -levyjarrut - Korkeaprofiiliset ZIPP 303 XPLR -hiilikuitukiekot - Schwalbe G-One RX Pro 45 mm renkaat - Sram Force XPLR AXS -kammet tehonmittauksella - Paino 8,6 kg"
CUBE,Nuroad SLX,gravel,1849.0,aluminum,,Shimano Grx,10.3,https://rtech.fi/tuote/cube_nuroad_slx_gravelpyora?attr1_id=626,https://media.viskanassets.com/v2/rtechprod/normal/25025_molotov´n´black_front.jpg,"Bikepacking-retkeilijän ja aktiivikuskin gravelpyörä uudella alumiinirungolla, hiilikuituisilla putkiosilla sekä 1x12 Shimano GRX -voimansiirrolla. Rungossa on runsaasti kiinnikepaikkoja ja tilaa jopa 50 mm renkaille. - Aluminum 6061 T6 Superlite -alumiinirunko - Shimano GRX 1x12 -voimansiirto - Hydrauliset Shimano GRX -levyjarrut - hiilikuituinen tanko ja satulatolppa - Schwalbe G-One R 45 mm -renkaat- Hiilikuituinen satulatolppa ja ohjaustanko- Paino 10,3 kg- Painoraja 130 kg (pyörä + kuski + "
CUBE,Nuroad Race,gravel,1649.0,aluminum,,Shimano Grx,10.8,https://rtech.fi/tuote/cube_nuroad_race_gravelpyora?attr1_id=669,https://media.viskanassets.com/v2/rtechprod/normal/25024_cappuccino´n´black_front.jpg,"Bikepacking-retkeilijän ja aktiivikuskin gravelpyörä uudella alumiinirungolla ja 2x12 Shimano GRX -voimansiirrolla. Rungossa on runsaasti kiinnikepaikkoja ja tilaa jopa 50 mm renkaille. - Aluminum 6061 T6 Superlite -alumiinirunko - Runsaasti kiinnikepaikkoja laukuille ja telineille- Shimano GRX 2x12 -voimansiirto - Hydrauliset Shimano GRX -levyjarrut - Schwalbe G-One R 45 mm -renkaat - Paino 10,8 kg- Painoraja 130 kg (pyörä + kuski + kuorma)"
CUBE,Agree C:62,road,3599.0,carbon,,Shimano Ultegra,8.1,https://rtech.fi/tuote/cube_agree_c62_pro_maantiepyora?attr1_id=46,https://media.viskanassets.com/v2/rtechprod/normal/25019_blackline_front.jpg,"Kevyt ja nopea maantiepyörä Shimano Ultegra Di2 -sähkövaihteilla aktiiviharrastajalle. - C:62 -hiilikuiturunko - Langaton Shimano Ultegra Di2 2x12 -vaihteisto - Hydrauliset Shimano Ultegra -levyjarrut - Korkeaprofiiliset Newmen Advanced A.50 -hiilikuitukiekot - Paino 8,1 kg"
CUBE,Agree C:62,road,4299.0,carbon,,Sram Force,7.5,https://rtech.fi/tuote/cube_agree_c62_slx_maantiepyora?attr1_id=663,https://media.viskanassets.com/v2/rtechprod/normal/25020_nightshift´n´prism_front.jpg,"Kevyt ja todella nopea maantiepyörä Sram Force AXS E1 -sähkövaihteilla parasta vaativalle aktiiviharrastajalle.- C:62 -hiilikuiturunko- Sram Force AXS E1 2x12 -langaton vaihteisto- Sram Force AXS E1 HRD -levyjarrut- Sram Force AXS E1&nbsp;-kammet tehonmittauksella- Newmen Streem C.35/38 -hiilikuitukiekot- Paino 7,5 kg"
CUBE,Attain C:62,road,2699.0,carbon,,Shimano 105,8.4,https://rtech.fi/tuote/cube_attain_c62_slx_maantiepyora?attr1_id=660,https://media.viskanassets.com/v2/rtechprod/normal/25017_sleekgrey´n´prism_front.jpg,"Suorituskykyinen endurance-maantiepyörä hiilikuiturungolla ja Shimano 105 Di2 2x12 -sähkövaihteilla pitkille lenkeille sekä kovaan harjoitteluun.- C:62 -hiilikuiturunko- Hiilikuituinen etuhaarukka- Shimano 105 Di2 2x12 -sähkövaihteisto - Hydrauliset Shimano 105 -levyjarrut- Paino vain 8,4 kg"
CUBE,Attain C:62,road,3199.0,carbon,,,,https://rtech.fi/tuote/cube_attain_c62_slt_maantiepyora?attr1_id=661,https://media.viskanassets.com/v2/rtechprod/normal/25018_shiftmint´n´white_front.jpg,
Cube,Attain SLX,road,1600.0,carbon,,Shimano 105,9.6,https://www.bikester.fi/fi/articles/2.2506.153381/maantiepyora-cube-attain-slx-105-coalprism,https://03.cdn37.se/zY/images/2.2910894/maantiepyora-cube-attain-slx-105-coalprism.jpeg,"Nopea, herkkä ja mukava kilometrisyöppö, joka on kaunis katseltava Nopea maantiepyörä, joka on samalla ihanan mukava – onko se todella mahdollista? Haluaisimme itse asiassa kääntää ajattelun päälaelleen ja väittää, että terävämpiä suorituksia tarjoava maantiepyörä vaatii itse asiassa lisää mukavu..."
Cube,Agree C:62 SLT Dura,road,5799.0,carbon,,Shimano Dura-Ace,7.6,https://www.bikester.fi/fi/articles/2.2604.153394/aero-maantiepyora-cube-agree-c62-slt-dura-ace-di2-blackblack,https://03.cdn37.se/zY/images/2.2910972/aero-maantiepyora-cube-agree-c62-slt-dura-ace-di2-blackblack.jpeg,"Aerodynaaminen, reagoiva ja mukava kilometrisyöppö, joka on täysin UCI-hyväksytty Riippumatta siitä, onko tavoitteenasi viikonlopun kilpailu, arkipäivän harjoittelu tai vain halu ajaa hullun kovaa huvin vuoksi, reagoiva Cube Agree C:62 SLT tarjoaa täydellisen paketin. Tämä uskomattoman nopea maan..."
Cube,Attain C:62 SLX,road,2870.0,carbon,,Shimano 105,8.4,https://www.bikester.fi/fi/articles/2.2506.153386/maantiepyora-cube-attain-c62-slx-105-di2-sleekgreyprism,https://03.cdn37.se/zY/images/2.2910924/maantiepyora-cube-attain-c62-slx-105-di2-sleekgreyprism.jpeg,"Nopea, herkkä ja mukava kilometrisyöppö, joka on kaunis katseltava Nopea maantiepyörä, joka on samalla ihanan mukava – onko se todella mahdollista? Haluaisimme itse asiassa kääntää ajattelun päälaelleen ja väittää, että terävämpiä suorituksia tarjoava maantiepyörä vaatii itse asiassa lisää mukavu..."
Cube,Agree C:62 SLX, road,4599.0,carbon,,Sram Force,7.5,https://www.bikester.fi/fi/articles/2.2604.153392/aero-maantiepyora-cube-agree-c62-slx-sram-force-axs-nightshiftprism,https://03.cdn37.se/zY/images/2.2910960/aero-maantiepyora-cube-agree-c62-slx-sram-force-axs-nightshiftprism.jpeg,"Aerodynaaminen, reagoiva ja mukava kilometrisyöppö, joka on täysin UCI-hyväksytty Riippumatta siitä, onko tavoitteenasi viikonlopun kilpailu, arkipäivän harjoittelu tai vain halu ajaa hullun kovaa huvin vuoksi, reagoiva Cube Agree C:62 SLX tarjoaa täydellisen paketin. Tämä uskomattoman nopea maan..."
Cube, Attain Pro 2026,road,899.0,carbon,,Shimano Claris,10.5,https://mhw-bike.fi/cube-attain-pro-nautica-n-prism-2026-alumiininen-maantiepyoerae-125100-4,https://mhw-bike.fi/media/34/ba/2c/1756806733/125100-Cube-Attain-Pro-nautica-n-prism-2026-Aluminium-Rennrad-00.jpg?ts=1756806733,"Valamiehistö on tehnyt päätöksensä, ja tuomio on yksinkertainen: levyjarrut nopeuttavat ajamista. Siksi Attain Pro -malliin on asennettu luotettavat mekaaniset levyjarrut ja pitävät Continental Grand Prix 30 mm:n renkaat, jotta voit aina hallita pyörääsi…"
